No GPU on this node, CUDA module not loaded
         103261 function calls (100735 primitive calls) in 369.667 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2306(__init__)
      537    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        5    0.000    0.000    0.001    0.000 typing.py:2795(_make_nmtuple)
       52    0.001    0.000    0.001    0.000 core.py:894(__init__)
       94    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
     2116    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      537    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      108    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
     1623    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1785    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.001    0.000 warnings.py:133(filterwarnings)
      277    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
      158    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
      537    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 _datasource.py:431(exists)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.001    0.001 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
       26    0.000    0.000    0.001    0.000 core.py:921(__init__)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
       24    0.000    0.000    0.001    0.000 dtypes.py:66(_add_dtype_helper)
     1054    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6860(getdoc)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.001    0.001 contextlib.py:78(inner)
     1236    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f4c9d5e3ec0}
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
      472    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:1855(__new__)
